Proben-ID;Anlagennummer;Probe aus;Ölmenge im System;Dimension;Ölbezeichnung;Datum Probenentnahme;Datum letzter Ölwechsel;Nachfüllmenge seit Wechsel;Dimension;Laufzeit seit Wechsel;Dimension;Laufzeit gesamt;Dimension;Wasser K. F.;
1494536;264490;WKA-Hauptgetriebe;120;;Addinol Eco Gear 320 S;2012-01-31;2006-12-20;;;;;141958;h;141;ppm
877355;264490;WKA-Hauptgetriebe;120;;Addinol Eco Gear 320 S;2007-12-20;2006-12-20;;;8724;h;107231;h;194;ppm
1735543;264490;WKA-Hauptgetriebe;120;;Addinol Eco Gear 320 S;2013-04-30;2006-12-20;;;;;152674;h;197;ppm
1164165;264490;WKA-Hauptgetriebe;120;;Addinol Eco Gear 320 S;2009-12-17;2006-12-20;;;;;124476;h;223;ppm
1231770;264490;WKA-Hauptgetriebe;120;;Addinol Eco Gear 320 S;2010-06-16;2006-12-20;;;;;128377;h;246;ppm
1835354;264490;WKA-Hauptgetriebe;120;;Addinol Eco Gear 320 S;2013-10-29;2006-12-20;;;;;156970;h;280;ppm
1112174;264490;WKA-Hauptgetriebe;120;;Addinol Eco Gear 320 S;2009-08-03;2006-12-20;;;;;121272;h;287;ppm
1962630;264490;WKA-Hauptgetriebe;120;;Addinol Eco Gear 320 S;2014-06-10;2006-12-20;;;;;162161;h;294;ppm
834847;264490;WKA-Hauptgetriebe;120;;Addinol Eco Gear 320 S;2007-08-01;2006-12-20;;;5340;h;103847;h;320;ppm
1565691;264490;WKA-Hauptgetriebe;120;;Addinol Eco Gear 320 S;2012-06-14;2006-12-20;;;;;1450008;h;325;ppm
1658067;264490;WKA-Hauptgetriebe;120;;Addinol Eco Gear 320 S;2012-11-26;2006-12-20;;;;;148956;h;350;ppm
926528;264490;WKA-Hauptgetriebe;120;;Addinol Eco Gear 320 S;2008-05-20;2006-12-20;;;;;110802;h;382;ppm
1353746;264723;WEA-Hauptgetriebe;120;;Addinol Eco Gear 320 S;2011-04-04;2009-08-20;;;;;140936;h;84;ppm
