Proben-ID;Anlagennummer;Probe aus;Ölmenge im System;Dimension;Ölbezeichnung;Datum Probenentnahme;Datum letzter Ölwechsel;Nachfüllmenge seit Wechsel;Dimension;Laufzeit seit Wechsel;Dimension;Laufzeit gesamt;Dimension;Wasser K. F.;Dimension
2091335;392007;Wind turbine - main gear;400;;Mobil Mobilgear XMP 320;2015-01-15;2013-05-01;;;40563000;kWh;39870;;85;ppm
1975128;217477;Wind turbine - main gear;425;;Mobil Mobilgear XMP 320;2014-06-23;2012-11-13;;;460620;kWh;61715.1;;87;ppm
2019423;409696;Wind turbine - main gear;400;;Mobil Mobilgear XMP 320;2014-08-08;2014-03-07;;;;;;;87;ppm
2104370;706145;Wind turbine - main gear;500;l;Mobil Mobilgear XMP 320;2015-01-24;2013-04-24;;l;10269000;kWh;14560;h;88;ppm
2091332;392009;Wind turbine - main gear;400;;Mobil Mobilgear XMP 320;2015-01-15;2013-05-01;;;5435000;kWh;5473;;88;ppm
2066196;717899;Wind turbine - main gear;470;;Mobil Mobilgear XMP 320;2014-11-28;2013-05-10;;;;;;;88;ppm
2094945;428273;WKA-Hauptgetriebe;500;l;Mobil Mobilgear XMP 320;2015-01-29;2012-09-12;;l;;;;;89;ppm
2066189;717899;Wind turbine - main gear;470;;Mobil Mobilgear XMP 320;2014-11-28;2013-05-10;;;;;;;89;ppm
2049094;609464;Wind turbine - main gear;500;;Mobil Mobilgear XMP 320;2014-11-05;2014-10-24;;;96005;kWh;150;h;89;ppm
2104373;729281;WKA-Hauptgetriebe;500;l;Mobil Mobilgear XMP 320;2015-02-02;;20;l;13703000;kWh;12200;h;89;ppm
2104227;154936;Wind turbine - main gear;390;;Mobil Mobilgear XMP 320;2014-02-18;;;;;;;;90;ppm
1909549;253017;Wind turbine - main gear;;;Mobil Mobilgear XMP 320;2014-02-26;;;;46673;;;;90;ppm
1987542;634989;Wind turbine - main gear;500;;Mobil Mobilgear XMP 320;2014-07-16;;;;11658000;kWh;12152;;90;ppm
2028303;644880;Wind turbine - main gear;500;;Mobil Mobilgear XMP 320;2014-09-25;;;;13450000;kWh;14740;h;90;ppm
2096351;590212;WKA-Hauptgetriebe;400;;Mobil Mobilgear XMP 320;2015-01-28;;;;25132;h;25132;h;91;ppm
1862883;477894;Wind turbine - main gear;500;;Mobil Mobilgear XMP 320;2013-10-12;2012-07-11;;;;;;;92;ppm
2045467;634988;Wind turbine - main gear;500;;Mobil Mobilgear XMP 320;2014-10-29;2014-10-14;;;202643;kWh;14577;h;92;ppm
2101671;132700;WKA-Hauptgetriebe;310;;Mobil Mobilgear XMP 320;2015-01-21;2011-07-20;;;;;31464178;kWh;93;ppm
2019419;409695;Wind turbine - main gear;400;;Mobil Mobilgear XMP 320;2014-08-08;2013-07-03;;;;;;;93;ppm
2019420;409693;Wind turbine - main gear;400;;Mobil Mobilgear XMP 320;2014-08-08;2013-07-04;;;;;;;93;ppm
2063368;431445;Wind turbine - main gear;320;;Mobil Mobilgear XMP 320;2014-11-19;2012-06-01;;;;;;;94;ppm
1832868;431451;Wind turbine - main gear;330;;Mobil Mobilgear XMP 320;2013-10-15;2012-06-01;;;7447000;kWh;27295;kWh;95;ppm
2091323;392021;Wind turbine - main gear;400;;Mobil Mobilgear XMP 320;2015-01-14;2013-05-06;;;42099000;kWh;38631;h;95;ppm
2008836;428252;Wind turbine - main gear;400;;Mobil Mobilgear XMP 320;2014-08-29;2014-06-01;;;;;;;95;ppm
2006107;428273;WKA-Hauptgetriebe;500;;Mobil Mobilgear XMP 320;2014-08-29;2012-09-12;;;;;44300;h;97;ppm
2103683;670829;WKA-Hauptgetriebe;600;;Mobil Mobilgear XMP 320;2015-02-05;;;;16426;h;16426;h;98;ppm
2020791;210035;Wind turbine - main gear;260;l;Mobil Mobilgear XMP 320;2014-09-15;2009-02-16;10;l;87392;h;87392;h;99;ppm
1989971;387941;Wind turbine - main gear;500;;Mobil Mobilgear XMP 320;2014-07-04;2012-06-01;;;;;;;99;ppm
1989972;441222;Wind turbine - main gear;340;;Mobil Mobilgear XMP 320;2014-07-10;2012-06-01;;;;;;;100;ppm
1835631;716524;WKA-Hauptgetriebe;;l;Mobil Mobilgear XMP 320;2013-09-25;2013-01-28;400;l;291947;kWh;719.53;;100;ppm
1832861;444963;Wind turbine - main gear;330;;Mobil Mobilgear XMP 320;2013-10-08;2013-08-22;;;424036;kWh;8631;kWh;100;ppm
1967712;441304;Wind turbine - main gear;340;;Mobil Mobilgear XMP 320;2014-05-27;2012-06-01;;;11637000;kWh;4380;;101;ppm
2104368;713799;Wind turbine - main gear;500;l;Mobil Mobilgear XMP 320;2015-02-03;2013-04-24;;l;9482000;kWh;14104;h;101;ppm
2008841;428253;Wind turbine - main gear;400;;Mobil Mobilgear XMP 320;2014-08-29;2014-06-01;;;;;;;102;ppm
2049109;609468;Wind turbine - main gear;360;;Mobil Mobilgear XMP 320;2014-11-04;2014-10-23;;;100657;kWh;16090;h;102;ppm
2085939;428273;WKA-Hauptgetriebe;500;l;Mobil Mobilgear XMP 320;2015-01-14;2012-09-12;20;l;;;;;103;ppm
2016059;253018;Wind turbine - main gear;340;;Mobil Mobilgear XMP 320;2014-09-11;2014-09-10;;;;;48236;;103;ppm
2001336;132700;WKA-Hauptgetriebe;310;;Mobil Mobilgear XMP 320;2014-08-05;2011-07-20;;;;;108578;h;104;ppm
1967798;415776;Wind turbine - main gear;400;;Mobil Mobilgear XMP 320;2014-06-16;2013-05-01;;;40369000;kWh;35508;;104;ppm
2019422;409691;Wind turbine - main gear;400;;Mobil Mobilgear XMP 320;2014-08-08;2013-07-04;;;;;;;104;ppm
1994753;132515;Wind turbine - main gear;300;;Mobil Mobilgear XMP 320;2014-07-15;2014-06-12;;;25814;kWh;71024;kWh;104;ppm
2057068;428257;Wind turbine - main gear;400;;Mobil Mobilgear XMP 320;2014-11-18;2012-04-08;;;;;;;105;ppm
1993799;124139;Wind turbine - main gear;390;;Mobil Mobilgear XMP 320;2014-08-02;2013-07-01;;;;;;;105;ppm
1886199;441304;Wind turbine - main gear;330;;Mobil Mobilgear XMP 320;2014-01-21;2012-06-01;;;90230000;;40420;;106;ppm
2054541;444963;Wind turbine - main gear;500;;Mobil Mobilgear XMP 320;2014-10-31;2012-06-01;;;;;;;106;ppm
2082059;437424;Wind turbine - main gear;500;l;Mobil Mobilgear XMP 320;2014-12-29;2012-06-20;20;l;11205000;kWh;16940000;kWh;106;ppm
2060642;196651;WKA-Hauptgetriebe;60;;Mobil Mobilgear XMP 320;2014-11-25;2013-10-29;;;;;103064;h;106;ppm
1860221;726520;Wind turbine - main gear;500;;Mobil Mobilgear XMP 320;2013-12-06;2013-06-14;;;;;;;107;ppm
1986311;415776;Wind turbine - main gear;400;;Mobil Mobilgear XMP 320;2014-07-18;2013-06-15;;;40799000;kWh;36047;;107;ppm
1914329;634989;Wind turbine - main gear;500;;Mobil Mobilgear XMP 320;2014-03-18;;;;9272000;kWh;9850;h;107;ppm
1963048;101683;WKA-Hauptgetriebe;210;l;Mobil Mobilgear XMP 320;2014-06-02;2013-04-17;;l;;;126762;h;108;ppm
1940101;392029;Wind turbine - main gear;400;;Mobil Mobilgear XMP 320;2014-04-08;;;;34721;kWh;33808;kWh;108;ppm
1907967;387941;Wind turbine - main gear;500;l;Mobil Mobilgear XMP 320;2014-02-25;2011-06-16;20;l;23486.25;h;50125.42;h;109;ppm
